ID,Topic,Sentiment
88,"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",Positive
89,tao mệt chúng mày quá,Negative
90,hahaha lúc trước ca làm có 4 chị em vui biết bao :)),Positive
91,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,Negative
92,các bạn đang bảo con này ah 😂😂😂,Neutral
93,má chủ dễ thương vậy tao cũng muốn xin,Positive
94,"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",Positive
95,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",Negative
96,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,Negative
97,nhìn thương quá ... lao động nghiêm túc,Positive
98,đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),Negative
99,per mấy trụ kia em không tag được,Neutral
100,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Negative
101,per ơ ơ ơ đây là đâu vậy,Neutral
102,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,Negative
103,"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Negative
104,k phải là trời không cho mày yêu . vì m quá ngulon,Negative
105,"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",Negative
106,hết tiền rồi này,Negative
107,"đẹp , dẽ thương mà",Positive
108,tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,Negative
109,phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,Positive
110,thế làm sao dỗ bạn gái đang giận :(,Negative
111,t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),Negative
112,loài này bé như ngón tay phàm ăn lắm sợ luôn,Negative
113,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",Negative
114,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,Negative
115,chẳng đủ dịu dàng để níu bước chân anh,Negative
116,1 cái xe cup này ngày xưa bằng mấy cái nhà liền,Neutral
117,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,Positive
118,em chưa có người yêu . có ai yêu em không . em cô đơn quá,Negative
119,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,Positive
120,per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),Positive
121,bả đòi cái gì vậy ?,Neutral
122,"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",Negative
123,per biết không :))),Neutral
124,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Negative
125,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,Negative
126,cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,Negative
127,lên án nhiều rồi mà vẫn thế .,Negative
128,thằng này ngu vãi,Negative
129,cây tre có tận trăm đốt luôn hả ???,Neutral
130,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,Negative
131,"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",Negative
132,"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",Negative
133,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,Positive
134,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,Negative
135,và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,Negative
136,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Negative
137,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,Negative
138,tao thấy giống khùng với lại vô duyên chứ hay gì,Negative
139,cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,Positive
140,t gặp ngỗng chạy bỏ dép,Negative
141,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",Negative
142,sao nó trèo lên được hay vậy @@,Neutral
143,"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",Positive
144,cuộc sống mà đành chịu thôi =(((,Negative
145,"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",Negative
146,"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",Neutral
147,"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",Positive
148,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,Negative
149,t thấy chả có gì thú vị .,Neutral
150,vậy mà củng chẳng hút được khách !,Neutral
151,khi nào lên chùa ba vàng giải được vong thì kết hôn :)),Positive
152,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,Negative
153,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,Positive
154,cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,Negative
155,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,Neutral
156,em đi bộ chết mẹ đây này,Negative
157,"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",Positive
158,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",Negative
159,nhìn mặt nó khó ưa thật chứ,Negative
160,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),Neutral
161,giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,Neutral
162,một cái ngu thật sứng đáng,Negative
163,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,Positive
164,hãy dùng một đời để minh chứng nhé !💕😍,Neutral
165,con mụ đen sai còn già mồm ...,Negative
166,chỉ cần yên bình như thế này thôi . ❤️❤️❤️,Positive
167,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,Negative
168,chỉ sợ lúc nó dí,Negative
169,hên là chay ra kip,Positive
170,immm,Negative
171,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,Negative
172,đa ́ người yêuc quá ́,Positive
173,"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",Negative
174,kinh dị v,Negative
175,thật may em đã gặp được người tài xế tốt 🌸🌸,Positive
176,bắn không trượt phát nào luôn à,Neutral
177,tại sao mày nằm viện mà vẫn xinh thế ??,Neutral
178,đẹp trai mà bị đá à,Neutral
179,cho con được thay ông bán vé đi 😔,Negative
180,lớp xuất hiện thứ âm binh,Negative
181,đọc bình luận cười ẻ,Positive
182,per cách này coi bộ hay nha 😂,Positive
183,"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",Positive
184,per thanh niên suốt ngày hát karaoke max volum,Negative
185,lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,Negative
186,bố mày ngứa mắt lắm rồi đấy,Negative
187,thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),Negative
188,cả đám súc vật này,Negative
189,bố mấy thằng bệnh,Negative
190,thật khó để có cả 2 khi chúng ta còn trẻ :),Negative
191,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,Negative
192,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,Positive
193,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,Negative
194,mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Negative
195,cô giáo có tâm vời nghề ghêeeee,Positive
196,tiếc quá đẹp trai mờ không có chim,Negative
197,crush ở nhà chơi gane rồi haha,Positive
198,nhìn stt đồng cảm khủng khiếp .,Negative
199,cài lò xô huyền thoại,Positive
200,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,Negative
201,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,Negative
202,"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",Positive
203,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,Negative
204,trốn cũng đéo tha,Negative
205,"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",Positive
206,rồi lại im thôi . 200k hay 5tr thì cũng vậy,Negative
207,"cái lò huyền thoại nè per , lúc mình ở chung đó",Positive
208,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,Negative
209,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,Negative
210,tuyệt vời,Positive
211,trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),Neutral
212,tính đi chạy xe mà mưa cho nên ta ở nhà :),Neutral
213,nhìn nó cưng quá,Positive
214,chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,Negative
215,"này thì cắt đức quan hệ , toàn thể hiện , dume nó",Negative
216,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,Negative
217,hạnh phúc to nè,Positive
218,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",Negative
219,ông thần nhây vãi đái 😂😂,Positive
220,tóm lại vẩn ế à,Neutral
221,chả vị nước mắt à 😔,Negative
222,con lợn kia sao đập vào đầu vợ bé của tao =)),Negative
223,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,Neutral
224,cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,Negative
225,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,Positive
226,hahaa coi cái mặt con nhỏ thấy thương,Positive
227,"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",Positive
228,per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,Neutral
229,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",Positive
230,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,Positive
231,per anh tặng vợ cái bát nha kaka,Positive
232,"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",Positive
233,như lol,Negative
234,bất ngờ chưa =))),Neutral
235,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",Negative
236,"ay , đau thế , thằng chó !",Negative
237,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Negative
238,"đm cho tù mọt gông đi , cái thứ không não",Negative
239,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,Negative
240,a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,Negative
241,"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",Negative
242,per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,Positive
243,đáng yêuc quá,Positive
244,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,Neutral
245,làm như chỉ có chúng mày biết yêu nhau ý .,Negative
246,nói chung là không nên uống chẳng bổ béo gì đâu,Neutral
247,không nổi thì mình chìm haha,Positive
248,nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,Neutral
249,anh cũng bướng làm !,Neutral
250,"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",Negative
251,nhìn ma tiếc từng hạt trân châu,Negative
252,thật cảm động,Positive
253,"trời ơi , tin được không ????",Neutral
254,per nhìn mặt hài vler :))),Positive
255,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",Positive
256,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,Positive
257,người ngoài hành tinh đi học tiếng anh rồi à vãi,Negative
258,đó là một câu chuyện buồn 😀,Negative
259,lỗi đạo cụ,Negative
260,per dạo này bị xàm à 😂😂😂,Negative
261,như chết đi sống lại 🙂,Negative
262,"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",Negative
263,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,Positive
264,thả tao ra để tao cắn chết mẹ nó =)),Negative
265,per tao cứ thấy giống giống mày :))))),Positive
266,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,Negative
267,"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",Negative
268,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,Positive
269,cưng hết sức nà,Positive
270,"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",Negative
271,cái nệm này độ đàn hồi đỉnh ghê,Neutral
272,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",Negative
273,con mèo khốn nạn dám bóp vếu vợ tao à 😡,Negative
274,"giỏi quá ta , cố gắng phát huy nha",Neutral
275,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Neutral
276,ăn cả thế giới đã,Neutral
277,"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",Negative
278,"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",Negative
279,chú này tội lắm á :(,Negative
280,gọi phường cẩu đi thôi,Negative
281,link phim đéo có .. mà zo toàn gặp bình luận xàm,Negative
282,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,Negative
283,hihi ảo tưởng,Positive
284,hahah tao chưa nghe hoàn chỉnh bài này lần nào,Positive
285,mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .,Positive
286,thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,Neutral
287,2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??,Neutral
288,dân dùng bằng giả có được khiển trách không nhỉ,Neutral
289,vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :)),Negative
290,người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,Negative
291,per huhu trời ơiii,Negative
292,lớp 5 mà viết kiểu này cô đánh gãy tay .,Negative
293,con gái chả thế :)))) con trai đi dume mày có nhận hàng không,Positive
294,"xoá mẹ nó đi , pr cho nó làm gì",Negative
295,t thích nhìn mắt của crush hơn là nhìn nó cười,Positive
296,hành động đẹp,Positive
297,"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy",Negative
298,"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂",Positive
299,t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭,Negative
300,chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông,Positive
301,per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),Positive
302,"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục",Negative
303,may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,Neutral
304,mặt mày nhìn chán thậc,Negative
305,cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,Negative
306,per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin,Negative
307,đau lòng quá,Negative
308,chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,Negative
309,vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂,Positive
310,lúc rài không gặp được mặt cờ rút nữa 😪,Negative
311,dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,Negative
312,giống tao hồi bé ... 😅,Positive
313,có ai không bị giật mình như tao không . nhạt vãi =))),Negative
314,năm nay không được ăn dồi :((,Negative
315,ổng bị bắt rồi :( rồi lấy gì coi,Negative
316,"per thể loại mới nè , có vẻ phê",Positive
317,con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :)),Positive
318,"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",Negative
319,per nhện kìa haha,Positive
320,per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(,Negative
321,càng thân thiết khi quay lưng càng đau lòng .,Negative
322,lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :)),Positive
323,tôi thấy tương lai của tôi trong bức ảnh này :d,Neutral
324,"per đấu nhau to rồi , phen này hay",Positive
325,có thể bán lại cho tớ không ??????,Neutral
326,phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Negative
327,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),Negative
328,per phải nói là hiền quá hiền luônnn 🤣,Positive
329,phạt thế quá nhẹ ...,Negative
330,có bồ mà cũng sân si,Negative
331,trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,Negative
332,sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa,Positive
333,đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi,Neutral
334,ướp đông lạnh luôn à,Neutral
335,chờ tý tao đi thay bỉm xíu tao quay lại .,Negative
336,có hiệu quả không mới quan trọng,Neutral
337,sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .,Negative
338,anh chờ ... đáng yêu ghê,Positive
339,cười như cục cức trôi sông lạc chợ 😏😏👌,Negative
340,tao buồn mấy năm nay rồi,Negative
341,phải đối xử tốt với chính bản thân mình :),Positive
342,"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",Negative
343,"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?",Negative
344,tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁,Positive
